"REF_DATE","GEO","DGUID","Level of study","Type of debt source","Statistics","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834888","1.1.1.1","49","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834889","1.1.1.2","12","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834890","1.1.1.3","12700","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834891","1.1.1.4","20","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834892","1.1.1.5","10600","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834893","1.1.2.1","41","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834894","1.1.2.2","12","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834895","1.1.2.3","12500","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834896","1.1.2.4","17","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834897","1.1.2.5","10300","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834898","1.1.3.1","16","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834899","1.1.3.2","2","E","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834900","1.1.3.3","6800","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834901","1.1.3.4","40","","","","0"
"2000","Canada","2016A000011124","College","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834902","1.1.3.5","6800","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834903","1.2.1.1","53","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834904","1.2.1.2","33","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834905","1.2.1.3","20500","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834906","1.2.1.4","22","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834907","1.2.1.5","17100","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834908","1.2.2.1","45","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834909","1.2.2.2","32","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834910","1.2.2.3","19600","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834911","1.2.2.4","21","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834912","1.2.2.5","16300","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834913","1.2.3.1","19","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834914","1.2.3.2","10","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834915","1.2.3.3","10800","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834916","1.2.3.4","38","","","","0"
"2000","Canada","2016A000011124","Bachelor's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834917","1.2.3.5","10600","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834918","1.3.1.1","45","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834919","1.3.1.2","30","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt owed to the source at graduation","Dollars","81","units","0","v88834920","1.3.1.3","20300","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834921","1.3.1.4","27","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to any source (government or non-government)","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834922","1.3.1.5","17600","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834923","1.3.2.1","38","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834924","1.3.2.2","26","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt owed to the source at graduation","Dollars","81","units","0","v88834925","1.3.2.3","18400","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834926","1.3.2.4","26","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to government-sponsored student loans","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834927","1.3.2.5","16100","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834928","1.3.3.1","15","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834929","1.3.3.2","18","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Average debt owed to the source at graduation","Dollars","81","units","0","v88834930","1.3.3.3","14100","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Percentage of graduates with debt who had paid it off at time of interview","Percent","239","units","0","v88834931","1.3.3.4","39","","","","0"
"2000","Canada","2016A000011124","Master's","Graduates who owed money for their education to non-government sources","Average debt remaining at time of interview for those who still owed","Dollars","81","units","0","v88834932","1.3.3.5","14000","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates who owed debt to the source at graduation","Percent","239","units","0","v88834933","1.4.1.1","45","","","","0"
"2000","Canada","2016A000011124","Doctorate","Graduates who owed money for their education to any source (government or non-government)","Percentage of graduates with large debt at graduation ($25,000 and over)","Percent","239","units","0","v88834934","1.4.1.2","35","","","","0"
